Video Name,14.07.2021,15.07.2021,16.07.2022,17.07.2021,18.07.2021
RPA Fridays #11 - Anti-procrastination robot,,,16,16,18
RPA Fridays #10 - UiPath Object Repository,,,19,19,20
RPA Fridays #9 - Robot that plays Arkanoid,58,58,58,58,58
RPA Fridays #8 - Super powerful automation - 5x faster execution using recursive workflows,75,75,75,75,75
RPA Fridays #7 - Using the power of Google Vision in UiPath (5 examples),115,115,115,115,115
RPA Fridays #6 - Current weather on request - intro to UiPath Slack activities,70,70,70,70,70
RPA Fridays #5 - Take screenshots of all windows,66,66,66,66,66
RPA Fridays #4 - Robot playing the Word chain game,65,65,65,65,65
RPA Fridays #3 - Email trigger and data extraction,108,108,108,108,108
RPA Fridays #2 - Download new music,75,75,75,75,75
RPA Fridays #1 - Basic Excel data manipulation,152,152,152,152,152
How we automated Customs Declaration,32,32,32,32,32
A simple robotic use case in your daily life #RPA,32,32,32,32,32
RPA Academy - How our lectures are organised,110,110,110,110,110
RobotICT - Jingle Robots,99,99,99,99,99
RobotICT - Summer RPAcademy 2020,45,45,45,45,45
About RobotICT,35,35,36,36,36
RobotICT - UiPath installation,21,21,21,21,21
RobotICT & DNA,34,34,34,34,34
Schools #GoDigital by RobotICT - EN,27,27,27,27,27
Schools #GoDigital by RobotICT - CZ,27,27,27,27,27
Welcome to RobotICT!,77,77,77,77,77
How to manage your infrastructure efficiently,18,18,18,18,18
How to save costs using #RPA,12,12,12,12,14
Jak šetřit náklady díky #RPA,,117,117,117,117
